Removed Member From Class: ClassName=一体板1 Member=JTAG1
Added Component: Designator=JP(HDR1X4)
Added Pin To Net: NetName=7.2V Pin=1-1
Added Pin To Net: NetName=AGND Pin=1-2
Added Pin To Net: NetName=7.2V Pin=2-1
Added Pin To Net: NetName=AGND Pin=2-2
Added Pin To Net: NetName=YUN_5V Pin=3-1
Added Pin To Net: NetName=AGND Pin=3-2
Added Pin To Net: NetName=YUN_5V Pin=4-1
Added Pin To Net: NetName=AGND Pin=4-2
Added Pin To Net: NetName=GND Pin=5-1
Added Pin To Net: NetName=Net5_2 Pin=5-2
Added Pin To Net: NetName=Net5_3 Pin=5-3
Added Pin To Net: NetName=5V Pin=6-1
Added Pin To Net: NetName=Net5_3 Pin=6-2
Added Pin To Net: NetName=7.2V Pin=7-1
Added Pin To Net: NetName=AGND Pin=7-2
Added Pin To Net: NetName=7.2V Pin=8-1
Added Pin To Net: NetName=AGND Pin=8-2
Added Pin To Net: NetName=B_5V Pin=9-1
Added Pin To Net: NetName=AGND Pin=9-2
Added Pin To Net: NetName=B_5V Pin=10-1
Added Pin To Net: NetName=AGND Pin=10-2
Added Pin To Net: NetName=7.2V Pin=11-1
Added Pin To Net: NetName=AGND Pin=11-2
Added Pin To Net: NetName=7.2V Pin=12-1
Added Pin To Net: NetName=AGND Pin=12-2
Added Pin To Net: NetName=5V Pin=13-1
Added Pin To Net: NetName=AGND Pin=13-2
Added Pin To Net: NetName=5V Pin=14-1
Added Pin To Net: NetName=AGND Pin=14-2
Added Pin To Net: NetName=DGND Pin=A-G1-1
Added Pin To Net: NetName=GND Pin=A-G1-2
Added Pin To Net: NetName=ADC0_SE2 Pin=ad1-1
Added Pin To Net: NetName=ADC0_SE3 Pin=ad1-2
Added Pin To Net: NetName=ADC0_SE12 Pin=ad1-3
Added Pin To Net: NetName=ADC0_SE13 Pin=ad1-4
Added Pin To Net: NetName=ADC0_SE14 Pin=ad1-5
Added Pin To Net: NetName=ADC0_SE15 Pin=ad1-6
Added Pin To Net: NetName=AGND Pin=ad1-7
Added Pin To Net: NetName=YUN_5V Pin=ad1-8
Added Pin To Net: NetName=GND Pin=C1-1
Added Pin To Net: NetName=NetC1_2 Pin=C1-2
Added Pin To Net: NetName=VDD Pin=C2-1
Added Pin To Net: NetName=GND Pin=C2-2
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=NetC1_2 Pin=C3-2
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=NetC4_2 Pin=C4-2
Added Pin To Net: NetName=7.2V Pin=C5-1
Added Pin To Net: NetName=GND Pin=C5-2
Added Pin To Net: NetName=GND Pin=C6-1
Added Pin To Net: NetName=VDD Pin=C6-2
Added Pin To Net: NetName=GND Pin=C7-1
Added Pin To Net: NetName=VDD Pin=C7-2
Added Pin To Net: NetName=GND Pin=C8-1
Added Pin To Net: NetName=VDD Pin=C8-2
Added Pin To Net: NetName=XTAL Pin=C9-1
Added Pin To Net: NetName=GND Pin=C9-2
Added Pin To Net: NetName=SGND Pin=C10-1
Added Pin To Net: NetName=+12V Pin=C10-2
Added Pin To Net: NetName=GND Pin=C11-1
Added Pin To Net: NetName=VDD Pin=C11-2
Added Pin To Net: NetName=GND Pin=C12-1
Added Pin To Net: NetName=VDD Pin=C12-2
Added Pin To Net: NetName=EXTAL Pin=C13-1
Added Pin To Net: NetName=GND Pin=C13-2
Added Pin To Net: NetName=GND Pin=C14-1
Added Pin To Net: NetName=RESET Pin=C14-2
Added Pin To Net: NetName=GND Pin=C15-1
Added Pin To Net: NetName=VDD Pin=C15-2
Added Pin To Net: NetName=NetC16_1 Pin=C16-1
Added Pin To Net: NetName=R_BHS Pin=C16-2
Added Pin To Net: NetName=SGND Pin=C17-1
Added Pin To Net: NetName=+12V Pin=C17-2
Added Pin To Net: NetName=R_AHB Pin=C18-1
Added Pin To Net: NetName=R_AHS Pin=C18-2
Added Pin To Net: NetName=L_BHS Pin=C19-1
Added Pin To Net: NetName=NetC19_2 Pin=C19-2
Added Pin To Net: NetName=NetC20_1 Pin=C20-1
Added Pin To Net: NetName=SGND Pin=C20-2
Added Pin To Net: NetName=L_AHS Pin=C21-1
Added Pin To Net: NetName=L_AHB Pin=C21-2
Added Pin To Net: NetName=12V Pin=C22-1
Added Pin To Net: NetName=SGND Pin=C22-2
Added Pin To Net: NetName=M_7.2 Pin=C74-1
Added Pin To Net: NetName=GND Pin=D1-1
Added Pin To Net: NetName=VDD Pin=D1-2
Added Pin To Net: NetName=GND Pin=D2-1
Added Pin To Net: NetName=VDD Pin=D2-2
Added Pin To Net: NetName=+12V Pin=D3-1
Added Pin To Net: NetName=NetC16_1 Pin=D3-2
Added Pin To Net: NetName=+12V Pin=D4-1
